date,id,transport,num
12-07-22,1169543913,trol,b
12-07-22,894724531,trol,5
12-07-22,232676217,tram,9
12-07-22,981016765,bus,134
12-07-22,871245044,trol,20
12-07-22,1528475083,bus,136
12-07-22,1150321835,trol,21
12-07-22,437548696,trol,1
12-07-22,1417769729,bus,177
12-07-22,1528475083,bus,115
12-07-22,557840176,tram,18
12-07-22,1150321835,trol,a
12-07-22,1625968768,tram,11
12-07-22,5101807035,bus,127
12-07-22,1625968768,tram,15
12-07-22,1061126754,trol,10
12-07-22,613521269,trol,12
12-07-22,958810848,tram,12
12-07-22,958810848,tram,7
12-07-22,1859951139,bus,90
12-07-22,841017987,tram,15
12-07-22,841017987,tram,15
12-07-22,1451219813,bus,124а
12-07-22,5286709873,bus,86
12-07-22,392287161,bus,95
12-07-22,894724531,tram,15
12-07-22,171505546,bus,95а
12-07-22,5242571861,bus,120
12-07-22,347268696,trol,5
12-07-22,347268696,trol,1
12-07-22,5242571861,trol,12
12-07-22,5242571861,bus,120
12-07-22,5242571861,bus,121
12-07-22,5242571861,bus,40
12-07-22,5242571861,bus,60
12-07-22,5242571861,bus,62
12-07-22,5242571861,bus,107
12-07-22,5242571861,bus,20
12-07-22,5242571861,bus,55
12-07-22,772600595,trol,1
12-07-22,5242571861,bus,29
12-07-22,5242571861,tram,1
12-07-22,5242571861,tram,6
12-07-22,5242571861,tram,19
12-07-22,5242571861,tram,5
12-07-22,591382918,bus,35
12-07-22,5242571861,trol,10
12-07-22,5242571861,trol,12
12-07-22,5242571861,trol,2
12-07-22,5242571861,trol,2
12-07-22,905324897,tram,18
12-07-22,905324897,tram,18
12-07-22,666445915,bus,95
12-07-22,5242571861,bus,29
12-07-22,1178519993,bus,152
12-07-22,401730371,bus,23
12-07-22,401730371,bus,38
12-07-22,481139416,bus,177
12-07-22,1451219813,bus,62
12-07-22,29764093,bus,90
12-07-22,398842798,trol,b
12-07-22,5113771951,bus,107
12-07-22,589936739,bus,92
12-07-22,403497346,bus,39
12-07-22,411195824,trol,a
12-07-22,531652543,bus,73
12-07-22,531652543,bus,91
12-07-22,122636157,trol,2
12-07-22,427967336,trol,6
12-07-22,364832762,trol,b
12-07-22,609689680,trol,20
12-07-22,411866840,trol,b
12-07-22,1837804280,trol,7
12-07-22,1837804280,bus,115
12-07-22,1837804280,bus,64г
12-07-22,1103360500,bus,62
12-07-22,527816585,bus,9
12-07-22,1085705294,tram,1
